,subject,session_id,electrode,electrode_type,fooof_export_path,offset,log knee,exponent,tau (ms),rsquared
3346,DBS4078,2,ecog_110,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_110-fooof.json,1.325550931286694,1.3990321621654878,3.713688370909697,6.350208273552121,0.9974820591959153
3347,DBS4078,2,ecog_111,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_111-fooof.json,1.5738446059405753,1.33664514565987,3.660842647427715,7.331198623761465,0.9972444980638798
3348,DBS4078,2,ecog_112,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_112-fooof.json,1.686943150980773,1.3023002428323642,3.65875738595512,7.934505925516201,0.9984232444982125
3349,DBS4078,2,ecog_113,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_113-fooof.json,1.8242430387230033,1.2914378672390812,3.8246568009820163,8.135462815503518,0.9990391016671009
3350,DBS4078,2,ecog_114,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_114-fooof.json,1.9310297655881263,1.305427185040993,4.009558206667387,7.877582254597648,0.9992720040834117
3351,DBS4078,2,ecog_115,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_115-fooof.json,1.9973574144047999,1.2922476363236628,3.8964958664409806,8.120307871929986,0.9992264713385683
3352,DBS4078,2,ecog_116,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_116-fooof.json,2.0719877246227667,1.2757717295298576,3.8626141505347555,8.434287526452973,0.9992406838990571
3353,DBS4078,2,ecog_117,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_117-fooof.json,2.7015810615893896,1.1599030798405077,3.9541210882014846,11.013289408167031,0.9976507173354017
3354,DBS4078,2,ecog_118,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_118-fooof.json,2.7043558170367707,1.140212054498949,3.7706481021691256,11.524128099296208,0.9976925836395966
3355,DBS4078,2,ecog_119,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_119-fooof.json,2.383539780133149,1.1125007507355205,3.7405486957843697,12.283422240633787,0.9987507236408846
3356,DBS4078,2,ecog_120,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_120-fooof.json,1.9749277243555834,1.128917758589497,3.565932678921172,11.827756445513845,0.9953642970113286
3357,DBS4078,2,ecog_121,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_121-fooof.json,1.7227538613277003,1.2028344322281597,3.6462368706494646,9.976672117796873,0.9970369845160886
3358,DBS4078,2,ecog_122,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_122-fooof.json,1.6234429014579683,1.2123538662828386,3.2474283021203707,9.760369639781096,0.9975530496338936
3359,DBS4078,2,ecog_123,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_123-fooof.json,1.6763491018669536,1.2534383779289726,3.3765763213251363,8.879361831210245,0.9965180211466789
3360,DBS4078,2,ecog_124,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_124-fooof.json,1.6398161122783153,1.337268351492324,3.737538122573364,7.32068601218664,0.9975684831484419
3361,DBS4078,2,ecog_125,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_125-fooof.json,1.7617674169331976,1.3014709194086869,3.6763926253111268,7.949672036756247,0.9975176132562266
3362,DBS4078,2,ecog_126,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_126-fooof.json,1.5402674418834135,1.2414273489583614,3.2206297642282964,9.128360492525774,0.9972894179630605
3363,DBS4078,2,ecog_127,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_127-fooof.json,1.4047767809485343,1.186198128671454,3.29317830784954,10.36625774746025,0.996304589572526
3364,DBS4078,2,ecog_128,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_128-fooof.json,1.6431901544303764,1.102436493250255,3.3111914911084224,12.571399805760377,0.9950826664181784
3365,DBS4078,2,ecog_129,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_129-fooof.json,2.270521030192026,0.9818711499257627,3.408144187780799,16.593919606756987,0.9934861461052168
3366,DBS4078,2,ecog_130,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_130-fooof.json,1.8648322809368154,1.2147536615825094,3.6206923001424265,9.706585180440836,0.9962455502216301
3367,DBS4078,2,ecog_131,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_131-fooof.json,1.8615214968147178,1.3029667638005706,4.004534426666552,7.922338010266641,0.9984311802289798
3368,DBS4078,2,ecog_132,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_132-fooof.json,1.978141833632447,1.2683828892463367,3.9520741064087885,8.579011349978447,0.9975486446813667
3369,DBS4078,2,ecog_133,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_133-fooof.json,2.518604842199102,1.280685259779362,3.7108493128207702,8.339401278021448,0.997715930661958
3370,DBS4078,2,ecog_134,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_134-fooof.json,2.5330096208642305,1.2750745257771696,3.7856022923553803,8.447838561089801,0.9974205034693336
3371,DBS4078,2,ecog_135,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_135-fooof.json,2.7187987108452267,1.2144819751364604,3.605835002680363,9.71265933700474,0.9976812753723427
