,subject,session_id,electrode,localization,fooof_export_path,CF1,PH1,BW1,CF2,PH2,BW2,CF3,PH3,BW3,CF4,PH4,BW4,CF5,PH5,BW5,CF6,PH6,BW6
53,sEEG-1021,1,LCM9,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM9-fooof.json,15.71257388780341,0.4718725975296998,5.2517174559202875,25.063052227743093,0.14980834392386555,12.116007725637596,45.25246628193918,0.11390587042233768,50.0,59.44080540883197,0.11831229439631485,1.523006395524098,63.964,0.100734139024663,6.627553546773176,,,
54,sEEG-1021,1,LCM10,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM10-fooof.json,16.103171290411293,0.4547183447552552,5.353390622630839,22.564,0.19047915796152814,6.152950581083213,29.745116570484793,0.11199592599333741,6.016833088455773,38.70698863833879,0.10347348376554066,26.24061112145501,66.0014949339401,0.11107388812831154,45.664147101202516,,,
55,sEEG-1021,1,RCM1,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM1-fooof.json,2.399852700298688,0.7817019685594975,1.0,5.37836798793984,0.8890669772816917,4.23165969786034,13.206117511963226,0.28171960677567576,14.434864365075187,59.90924909071042,0.10925335790591362,1.0,143.836,0.23940032270203027,50.0,,,
56,sEEG-1021,1,RCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM2-fooof.json,5.634646620360716,0.7402737993216046,7.6207389786385615,8.228,0.6149815302443553,1.0,11.869055158086613,0.2717803524319464,22.520451299601852,143.85785886233361,0.19100410529389045,46.63284901085149,172.06964612542893,0.2985769436889054,46.47446007928554,195.89385385992585,0.3576040454493903,49.86943322708733
57,sEEG-1021,1,RCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM3-fooof.json,3.0362544577538992,1.0610893343913936,8.51082652707974,8.7305420194257,0.4370817018200164,1.0,141.1439511832296,0.15326609943062053,44.0030019908818,157.36317536723618,0.19848141242561823,30.585553459019803,178.02068319975274,0.27258026677012204,16.201625851663383,192.2959179588578,0.29957580491645075,40.416472131702506
58,sEEG-1021,1,RCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM4-fooof.json,4.5907350104715,1.1075216385868334,10.00967079258553,126.11327938387451,0.13563061683427868,31.56632824168505,127.86197872268653,0.14308982964474204,33.321538260797496,144.69419554746727,0.18639102069305125,50.0,156.2511789206239,0.2161460794631651,49.999946746800354,197.80117719025577,0.29984759027468044,50.0
59,sEEG-1021,1,RCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM5-fooof.json,2.5642466378041795,0.6332331983484298,9.834604764409693,26.075923265493913,0.38976846435972057,2.3563379127349293,180.85111202794658,0.14070057653487034,50.0,181.284,0.14087822655478455,39.3912613599936,190.428,0.13454871240107558,50.0,197.28378181976055,0.12008642345000986,50.0
60,sEEG-1021,1,RCM9,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM9-fooof.json,2.7676307212314613,0.3639544518371185,2.1613177644674764,3.4047680402647718,0.2788501964352079,2.096054742871479,26.62342656407944,0.293829643234389,11.173754012470864,37.54344394993035,0.21905351318796562,14.210536017350915,45.13647429345017,0.1610888617393602,8.346270409954485,77.22777335130884,0.30787166711603575,38.723558597194035
61,sEEG-1021,1,RCM10,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-RCM10-fooof.json,2.1938659145278234,0.48149811230040385,1.0002417979826936,3.918490412196737,0.4000311225654887,1.079126166735395,29.19804405751148,0.42862797169431843,13.636139118940022,70.1285826157232,0.2877318697661728,47.3763781136467,77.82650110857605,0.32939368851206297,16.629363419488605,139.27705941392904,0.12653708609765246,1.0
62,sEEG-1021,1,LCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM2-fooof.json,2.954047038105067,0.5862329713536525,2.7660430291526477,6.190335841358134,0.30705898459045855,24.699247023830765,15.973323071781673,0.6760277531378183,14.68733074400917,149.5056444872311,0.2316082935877084,28.024723123489785,166.266791426212,0.28998415991950743,50.0,,,
63,sEEG-1021,1,LCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM3-fooof.json,4.533705310803156,0.5078582140022441,4.025541929179111,15.557433529300745,0.6547847678216119,8.151802271693311,23.024287380699214,0.6801833742785277,5.413155122136525,139.0952046710383,0.1596359673635135,13.592406992486474,143.00633951947657,0.17194882072970508,37.99650588307982,196.06357137067414,0.3483499321906294,50.0
64,sEEG-1021,1,LCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM4-fooof.json,4.369636137783035,0.6432723471772768,5.662694764672881,18.10232514427281,0.16815908730301032,10.99816433133455,160.82234142624426,0.21619020051643645,1.8482116121653425,164.37213701794676,0.22554604422883706,50.0,169.948,0.23126759531968766,50.0,,,
65,sEEG-1021,1,LCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-1-LCM5-fooof.json,2.322434590086754,1.0009059354614376,2.07891068664411,5.156000000000001,0.562228714669315,1.5005797554708757,6.180059030877627,0.6252628348733325,3.880992227282693,10.351091115339463,0.3002585601299419,1.7584281875376617,19.654050346821055,0.3416227077510925,5.408284002964359,191.524,0.26608881377323,50.0
66,sEEG-1021,2,LCM6,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-LCM6-fooof.json,1.5980060340317777,0.7063037214452805,1.709571661704628,5.438507473030226,0.7902351209209595,3.727023072785309,18.80455112825087,0.22714903796196317,4.580079160868162,,,,,,,,,
67,sEEG-1021,2,LCM9,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-LCM9-fooof.json,15.680022427258193,0.542987837460494,5.901006104853313,25.09368596595394,0.22947517291342834,12.348196872362356,39.74499718065838,0.1524671944466256,24.010797136217043,67.85551031792048,0.12522706234400793,47.848940491875055,,,,,,
68,sEEG-1021,2,LCM10,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-LCM10-fooof.json,17.087560912729497,0.46557875642579205,6.781838561727173,27.746860691898224,0.15659218330003633,14.207393231391462,35.036124626863476,0.14147260616207014,9.909965332818599,51.02794027663181,0.14036094110222663,24.480817538401325,66.82780634224203,0.13592270517421667,43.598585911473826,,,
69,sEEG-1021,2,RCM1,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-RCM1-fooof.json,5.226041702298007,0.7902952742293401,4.842030212148188,12.960675127788912,0.28743471516467345,15.694847338130721,58.404,9.888730488682995e-06,1.0,148.88154339010282,0.1990890521497164,41.286380940503165,197.53330764998836,0.3542606032526745,50.0,,,
70,sEEG-1021,2,RCM2,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-RCM2-fooof.json,5.555575000178633,0.6180747060292688,9.272630779494504,151.90903087374573,0.28111827596707073,7.204369611361429,162.73190799669678,0.30791175843557284,50.0,,,,,,,,,
71,sEEG-1021,2,RCM3,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-RCM3-fooof.json,2.205914082825659,0.8370387631232141,1.7795352607065362,5.0426727962044895,1.019766865859399,5.2301330854265835,178.41265536048155,0.28902978311489846,50.0,,,,,,,,,
72,sEEG-1021,2,RCM4,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-RCM4-fooof.json,5.235221365949738,1.2057053877446897,7.277136389816259,170.34195713105993,0.31778605373378,50.0,,,,,,,,,,,,
73,sEEG-1021,2,RCM5,subcortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-RCM5-fooof.json,26.041850306571327,0.23163712704338124,2.801799677467808,184.16260608303674,0.12434892274972142,50.0,,,,,,,,,,,,
74,sEEG-1021,2,RCM9,cortical,../fooof_fits_sEEG_2021101_r4_fir1_pw1/sEEG-1021-2-RCM9-fooof.json,2.998015479791217,0.3596514091544769,1.968417752586628,19.21101791272754,0.261201247435924,5.1805187860438275,29.248394139812472,0.2247721709431545,12.89704464106384,77.34667578892922,0.32394283674970126,43.1791092778605,,,,,,
